"COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","1996","290397996.1035347","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","1997","280562627.2912424","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","1998","253701035.7815443","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","1999","202603816.9694183","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2000","187557647.0588235","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2001","171063304.275633","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2002","183551946.6999792","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2003","176827102.2914154","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2004","158703682.4595618","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2005","314416953.2896927","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2006","597308170.4147361","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2007","1025726246.352911","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2008","2340272417.707151","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2009","2247000856.898029","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2010","4028580673.956706","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2011","8943472887.720616","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2012","7517104713.083704","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2013","1494268617.151397","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2014","1874512683.261884","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2015","137876415.1803214","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2016","117271125.849279","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2017","133078357.9222023","Millions"
"India","Liabilities, Positions","Portfolio investment, Debt securities, General government","US dollar","Annual","2018","30488995201.71566","Millions"
